State,Year,Party,Candidate,Votes
AK,2004,Republican,Bush,190889
AK,2008,Republican,Mccain,193841
AK,2012,Republican,Romney,164676
AK,2016,Republican,Trump,163387
AK,2020,Republican,Trump,189951
AK,2024,Republican,Trump,184204
AL,2004,Republican,Bush,1176394
AL,2008,Republican,Mccain,1266546
AL,2012,Republican,Romney,1255925
AL,2016,Republican,Trump,1318255
AL,2020,Republican,Trump,1441170
AL,2024,Republican,Trump,1462616
AR,2004,Republican,Bush,572898
AR,2008,Republican,Mccain,638017
AR,2012,Republican,Romney,647744
AR,2016,Republican,Trump,684872
AR,2020,Republican,Trump,760647
AR,2024,Republican,Trump,759241
AZ,2004,Republican,Bush,1104294
AZ,2008,Republican,Mccain,1230111
AZ,2012,Republican,Romney,1233654
AZ,2016,Republican,Trump,1252401
AZ,2020,Republican,Trump,1661686
AZ,2024,Republican,Trump,1770242
CA,2004,Republican,Bush,5509826
CA,2008,Republican,Mccain,5011781
CA,2012,Republican,Romney,4839958
CA,2016,Republican,Trump,4483814
CA,2020,Republican,Trump,6006518
CA,2024,Republican,Trump,6050902
CO,2004,Republican,Bush,1101255
CO,2008,Republican,Mccain,1073629
CO,2012,Republican,Romney,1185243
CO,2016,Republican,Trump,1202484
CO,2020,Republican,Trump,1364607
CO,2024,Republican,Trump,1377441
CT,2004,Republican,Bush,693826
CT,2008,Republican,Mccain,629428
CT,2012,Republican,Romney,634892
CT,2016,Republican,Trump,673215
CT,2020,Republican,Trump,714717
CT,2024,Republican,Trump,739317
DC,2004,Republican,Bush,21256
DC,2008,Republican,Mccain,17367
DC,2012,Republican,Romney,21381
DC,2016,Republican,Trump,12723
DC,2020,Republican,Trump,18586
DC,2024,Republican,Trump,21076
DE,2004,Republican,Bush,171660
DE,2008,Republican,Mccain,152374
DE,2012,Republican,Romney,165484
DE,2016,Republican,Trump,185127
DE,2020,Republican,Trump,200603
DE,2024,Republican,Trump,214351
FL,2004,Republican,Bush,3964522
FL,2008,Republican,Mccain,4045624
FL,2012,Republican,Romney,4163447
FL,2016,Republican,Trump,4617886
FL,2020,Republican,Trump,5668731
FL,2024,Republican,Trump,6110125
GA,2004,Republican,Bush,1914254
GA,2008,Republican,Mccain,2048759
GA,2012,Republican,Romney,2078688
GA,2016,Republican,Trump,2089104
GA,2020,Republican,Trump,2461854
GA,2024,Republican,Trump,2663117
HI,2004,Republican,Bush,194191
HI,2008,Republican,Mccain,120566
HI,2012,Republican,Romney,121015
HI,2016,Republican,Trump,128847
HI,2020,Republican,Trump,196864
HI,2024,Republican,Trump,193661
IA,2004,Republican,Bush,751957
IA,2008,Republican,Mccain,682379
IA,2012,Republican,Romney,730617
IA,2016,Republican,Trump,800983
IA,2020,Republican,Trump,897672
IA,2024,Republican,Trump,927531
ID,2004,Republican,Bush,409235
ID,2008,Republican,Mccain,403012
ID,2012,Republican,Romney,420911
ID,2016,Republican,Trump,409055
ID,2020,Republican,Trump,554119
ID,2024,Republican,Trump,605246
IL,2004,Republican,Bush,2345946
IL,2008,Republican,Mccain,2031179
IL,2012,Republican,Romney,2135216
IL,2016,Republican,Trump,2146015
IL,2020,Republican,Trump,2446891
IL,2024,Republican,Trump,2444631
IN,2004,Republican,Bush,1479438
IN,2008,Republican,Mccain,1345648
IN,2012,Republican,Romney,1420543
IN,2016,Republican,Trump,1557286
IN,2020,Republican,Trump,1729857
IN,2024,Republican,Trump,1715058
KS,2004,Republican,Bush,736456
KS,2008,Republican,Mccain,699655
KS,2012,Republican,Romney,692634
KS,2016,Republican,Trump,671018
KS,2020,Republican,Trump,771406
KS,2024,Republican,Trump,741949
KY,2004,Republican,Bush,1069439
KY,2008,Republican,Mccain,1048462
KY,2012,Republican,Romney,1087190
KY,2016,Republican,Trump,1202971
KY,2020,Republican,Trump,1326646
KY,2024,Republican,Trump,1336230
LA,2004,Republican,Bush,1102169
LA,2008,Republican,Mccain,1148275
LA,2012,Republican,Romney,1152262
LA,2016,Republican,Trump,1178638
LA,2020,Republican,Trump,1255776
LA,2024,Republican,Trump,1208505
MA,2004,Republican,Bush,1071109
MA,2008,Republican,Mccain,1108854
MA,2012,Republican,Romney,1188314
MA,2016,Republican,Trump,1090893
MA,2020,Republican,Trump,1167202
MA,2024,Republican,Trump,1234961
MD,2004,Republican,Bush,1024703
MD,2008,Republican,Mccain,959862
MD,2012,Republican,Romney,971869
MD,2016,Republican,Trump,943169
MD,2020,Republican,Trump,976414
MD,2024,Republican,Trump,1033899
ME,2004,Republican,Bush,330201
ME,2008,Republican,Mccain,295273
ME,2012,Republican,Romney,292276
ME,2016,Republican,Trump,335593
ME,2020,Republican,Trump,360737
ME,2024,Republican,Trump,376633
MI,2004,Republican,Bush,2313746
MI,2008,Republican,Mccain,2048639
MI,2012,Republican,Romney,2115256
MI,2016,Republican,Trump,2279543
MI,2020,Republican,Trump,2649852
MI,2024,Republican,Trump,2816636
MN,2004,Republican,Bush,1346695
MN,2008,Republican,Mccain,1275409
MN,2012,Republican,Romney,1320225
MN,2016,Republican,Trump,1322951
MN,2020,Republican,Trump,1484065
MN,2024,Republican,Trump,1656979
MO,2004,Republican,Bush,1455713
MO,2008,Republican,Mccain,1445814
MO,2012,Republican,Romney,1482440
MO,2016,Republican,Trump,1594511
MO,2020,Republican,Trump,1718736
